Comment,Sentiment
Mrbeast for worldwide,Positive
Omg it's the first time I opened this app at the right time!!,Neutral
Who want participate in such challenge ?,Neutral
"This was the realest episode I ever saw lol, ""NO! Whatever he offers you yo say no! I been trough enough!"" hahaha,Positive"
You are Alive bro,Neutral
nice handshake,Positive
Safe Travels Armando,Positive
U made it to Million Buddy,Positive
Congratulations!! YEARS!,Positive
karl getting lectured by gordon is peak,Positive
Nice to see Colin there, been following him for years,Positive
MICHAEL DON'T LEAVE ME HERE AHH,Neutral
he is awesome,Positive
This man is genious seriouslly,Positive
TeamWater!,Positive
Truly shows how these things happens so unexpectedly take care of ur people guys,Positive
greatest video of all time great improvement,Positive
Absolutely insane. Congratulations!!!,Positive
Wow, this is insane. I LOVE YOUR VIDEOS,Positive
million people now have what so many of us take for granted. This is humanity at its best. The joy on the faces of the villagers is the most beautiful thing I’ve seen all year.,Positive
nolan seeming to be happy is just beautiful,Positive
Be there or be square...,Neutral
Coach Wall was genuinely the kindest and most loving person I've ever seen.,Positive
that’s Airack,Neutral
Mrbeast is slowly turning into mrjigsaw,Negative
Next one has to be a yacht/ boat,Neutral
This is one of the most emotional vids to mankind,Positive
Tareq editing this vid:,Neutral
I love that Majd is in the videos more and more! He's so awesome!,Positive
Just A Legend,Positive
Without a doubt a great lesson that effort has the result you want over time,Positive
"""This shows that people can do anything for money. It also shows that there’s nothing money can’t do. And it proves that money is above all power."",Negative"
I think we all cried over the loss of the coach.,Positive
I can't wait for the wedding series from $ wedding to $ million wedding,Neutral
Happy years. Congrats!,Positive
Safe Travels Armando,Positive
Even alan becker joined,Positive
Speed always wins,Positive
Congrats man, you've come a long way,Positive
I LOVE seeing Nolan Happy,Positive
Team water has a golden heart,Positive
You have MORE Then one million bro!,Positive
This is genuinely incredible, and I cannot begin to comprehend the massive amounts of effort required to achieve all of this.,Positive
Josh’s motorcycle… sacrificed for love again,Positive
The way Nolan asked Maddison and her saying yes almost made me cry becasue i think its so sweet,Positive
I hope you become famous,Positive
Thank you team for helping people love from Nepal,Positive
Do a challehge where someone has to quit an addiction, this can be a series,Neutral
Be there or be square...,Neutral
"bro took ""lemme just try it out"" a little too far,Neutral"
Who wants to be part of Mrbeast video,Neutral
You did it bro,Positive
This is one of the most emotional vids to mankind,Positive
I work in the Cheyenne Mountain complex. This video was a great example of how much more money the government has. The Complex is actually a lot bigger than what it shows in the video.,Neutral
This proves the point that all you need to stay happy is one little sign of progress. Great video,Positive
Money talks walks flys rides swims races,Neutral
Wow congratulations,Positive
"Oh"""""",Neutral"
Imagine goin home to that pillow princess,Neutral
Happy Year's anniversary,Positive
Congrats broski,Positive
would make a great athlete,Positive
Proud of lan for doing the right. he earned a friend for life.,Positive
Imagine JET sponsored this,Neutral
she missed her chance to say every date is priceless with you,Neutral
Thank you so much .k,Neutral
Congratulations you made it. You’ve gone so far. That’s so crazy how far you’ve come!,Positive
He is amazing he deserved that money,Positive
Anyone else love when Nolan is happy,Positive
I hope you get that million subs bro, I'll be rooting for you~,Positive
DO NOT TEXT YOUR EXES!!,Neutral
Nothing beats a Jet Holiday!,Positive
Bro just burned money but he's still chill,Positive
I loved the another days,Positive
Powerful message, beautiful execution. Glad to play a role,Positive
This video is tearing me apart inside..,Positive
The prizes this time for each days was actually one of the best ideas mrbeast thought of so far imo,Positive
Great vidio,Positive
Coach Wall will remain a legend in our hearts,Positive
Lowk I understand Ian's frustration because Lenny had no issue having the books until that challenge was mentioned Ian was trying to be helpful,Neutral
Nolan's face loll,Neutral
All the stunts here were super easy,Negative
Your videos are really amazing. And I am a big fan of yours.,Positive
million people now have what so many of us take for granted. This is humanity at its best. The joy on the faces of the villagers is the most beautiful thing I’ve seen all year.,Positive
That’s some wild challenges!,Positive
honestly that made me cry,Positive
Wow the definition of resilience,Positive
"""I'm doing this for myself, and now it's for coach too"" that hits hard,Positive"
Can you lock me in one of these rooms for days so I can quit smoking , vaping, and drinking??,Neutral
The editing is outstanding I will come back to watch it again.,Positive
"and even though you don't need it it comes with a shampoo"""""",Neutral"
Speed really locked in,Neutral
Making smokers/alcoholics survive in a house for days without cigs and alcohols,Neutral
A Bed is a BED W CHOICE,Positive
From preparing to history exams to now making History in humanity Insane achievement thala....,Positive
this video was hard to watch,Positive
I may not be very big on the platform but I come here to honor Coach Wall,Positive
money just burning,Neutral
WE LOVE YOU COACH,Positive
Best video nd emotional video but strong video,Positive
This was beautiful and inspiring. Thank you.,Positive
The curve of the chandler shot !!! Insane,Positive
Coach wall is one of the best coaches ever,Positive
SIX SEVEN,Neutral
this is very big,Neutral
This is not just a video, it’s a testament to the power of kindness and unity. Fully supporting the $ million mission! huge thanks to Team Water and all the amazing creators involved!,Positive
I didn't expect coach to be gone. Almost cried he was incredibly nice.,Positive
